"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","qc-10-135-19-18",,,,"User:","root"
"Cmdline:","dstat --process --output process_stat.csv",,,,"Date:","19 Dec 2016 16:24:30 CST"
"cc test",,,,,,
"time","pid","name","cpu","mem","io_read","io_write"
16:24:30,27363,Game,1.12,488280064,59.57,14.22
16:24:30,27295,World,6.24,268746752,84.35,11.11
16:24:30,27327,Game,3.86,749142016,61.23,504.86
16:24:30,27426,DB,0.80,51609600,14.48,39.16
16:24:30,27345,Game,1.12,458293248,59.55,15.24
16:24:30,27318,Game,4.08,805806080,62.00,742.53
16:24:31,27363,Game,19.00,488304640,0.00,0.00
16:24:31,27295,World,44.00,268746752,0.00,0.00
16:24:31,27327,Game,17.00,749142016,0.00,0.00
16:24:31,27426,DB,3.00,51609600,0.00,0.00
16:24:31,27345,Game,11.00,458293248,0.00,0.00
16:24:31,27318,Game,16.00,805806080,0.00,0.00
16:24:32,27363,Game,19.00,488357888,260.00,82229.00
16:24:32,27295,World,42.00,268746752,0.00,117.00
16:24:32,27327,Game,15.00,749142016,0.00,0.00
16:24:32,27426,DB,4.00,51609600,0.00,0.00
16:24:32,27345,Game,14.00,458293248,0.00,0.00
16:24:32,27318,Game,13.00,805806080,0.00,0.00
16:24:33,27363,Game,14.00,488374272,0.00,0.00
16:24:33,27295,World,45.00,268746752,24.00,132.00
16:24:33,27327,Game,15.00,749142016,0.00,0.00
16:24:33,27426,DB,3.00,51609600,0.00,0.00
16:24:33,27345,Game,16.00,458293248,0.00,0.00
16:24:33,27318,Game,16.00,805806080,0.00,0.00
16:24:34,27363,Game,13.00,488378368,0.00,0.00
16:24:34,27295,World,43.00,268746752,0.00,116.00
16:24:34,27327,Game,17.00,749142016,0.00,0.00
16:24:34,27426,DB,3.00,51609600,0.00,0.00
16:24:34,27345,Game,14.00,458293248,0.00,0.00
16:24:34,27318,Game,14.00,805806080,0.00,0.00
16:24:35,27363,Game,18.00,488427520,260.00,82238.00
16:24:35,27295,World,40.00,268746752,0.00,0.00
16:24:35,27327,Game,16.00,749142016,0.00,0.00
16:24:35,27426,DB,2.00,51609600,0.00,0.00
16:24:35,27345,Game,12.00,458293248,0.00,0.00
16:24:35,27318,Game,14.00,805806080,0.00,0.00
16:24:36,27363,Game,18.00,488431616,0.00,0.00
16:24:36,27295,World,43.00,268746752,0.00,0.00
16:24:36,27327,Game,18.00,749142016,0.00,0.00
16:24:36,27426,DB,3.00,51609600,0.00,0.00
16:24:36,27345,Game,11.00,458293248,0.00,0.00
16:24:36,27318,Game,14.00,805806080,0.00,0.00
16:24:37,27363,Game,16.00,488443904,0.00,0.00
16:24:37,27295,World,40.00,268746752,0.00,0.00
16:24:37,27327,Game,17.00,749142016,0.00,0.00
16:24:37,27426,DB,3.00,51609600,0.00,0.00
16:24:37,27345,Game,14.00,458293248,0.00,0.00
16:24:37,27318,Game,15.00,805806080,0.00,0.00
16:24:38,27363,Game,15.00,488493056,260.00,82206.00
16:24:38,27295,World,41.00,268746752,13.00,337.00
16:24:38,27327,Game,14.00,749142016,0.00,0.00
16:24:38,27426,DB,2.00,51609600,79.00,4799.00
16:24:38,27345,Game,16.00,458293248,0.00,0.00
16:24:38,27318,Game,14.00,805806080,26.00,4324.00
16:24:39,27363,Game,14.00,488497152,0.00,0.00
16:24:39,27295,World,40.00,268746752,0.00,0.00
16:24:39,27327,Game,17.00,749142016,0.00,0.00
16:24:39,27426,DB,3.00,51609600,0.00,0.00
16:24:39,27345,Game,14.00,458293248,0.00,0.00
16:24:39,27318,Game,15.00,805806080,0.00,0.00
16:24:40,27363,Game,19.00,488501248,0.00,0.00
16:24:40,27295,World,45.00,268746752,0.00,117.00
16:24:40,27327,Game,16.00,749142016,0.00,0.00
16:24:40,27426,DB,3.00,51609600,0.00,0.00
16:24:40,27345,Game,13.00,458293248,0.00,0.00
16:24:40,27318,Game,19.00,805806080,0.00,0.00
16:24:41,27363,Game,18.00,488513536,0.00,0.00
16:24:41,27295,World,46.00,268746752,0.00,0.00
16:24:41,27327,Game,18.00,749142016,0.00,0.00
16:24:41,27426,DB,3.00,51609600,0.00,0.00
16:24:41,27345,Game,13.00,458293248,0.00,0.00
16:24:41,27318,Game,16.00,805806080,0.00,0.00
16:24:42,27363,Game,17.00,488517632,0.00,0.00
16:24:42,27295,World,46.00,268746752,0.00,0.00
16:24:42,27327,Game,15.00,749142016,0.00,0.00
16:24:42,27426,DB,3.00,51609600,0.00,0.00
16:24:42,27345,Game,16.00,458293248,0.00,0.00
16:24:42,27318,Game,15.00,805806080,0.00,0.00
16:24:43,27363,Game,14.00,488525824,0.00,0.00
16:24:43,27295,World,46.00,268746752,4192.00,534.00
16:24:43,27327,Game,17.00,749142016,0.00,0.00
16:24:43,27426,DB,5.00,51609600,0.00,0.00
16:24:43,27345,Game,13.00,458293248,0.00,0.00
16:24:43,27318,Game,15.00,805806080,147.00,628.00
16:24:44,27363,Game,14.00,488529920,0.00,0.00
16:24:44,27295,World,42.00,268746752,0.00,0.00
16:24:44,27327,Game,18.00,749142016,0.00,0.00
16:24:44,27426,DB,3.00,51609600,1141.00,26.00
16:24:44,27345,Game,12.00,458293248,0.00,0.00
16:24:44,27318,Game,16.00,805806080,0.00,0.00
