"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","qc-10-135-19-18",,,,"User:","root"
"Cmdline:","dstat -tcmdn --output sys_stat.csv",,,,"Date:","19 Dec 2016 16:24:30 CST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
19-12 16:24:30,1.989,0.544,97.404,0.011,0.052,3425255424,9430237184,320368640,3362914304,133.596,25780.982,0,0
19-12 16:24:31,10.256,2.564,87.051,0,0.128,3425603584,9429872640,320368640,3362926592,0,118784,3362037,9574332
19-12 16:24:32,10.398,2.311,87.035,0,0.257,3424206848,9431269376,320368640,3362926592,0,0,3569753,10156207
19-12 16:24:33,10.077,2.551,86.990,0,0.383,3423195136,9432285184,320368640,3362926592,0,0,3515424,10412706
19-12 16:24:34,9.542,2.672,87.532,0,0.254,3425861632,9429618688,320368640,3362926592,0,0,3096824,8836091
19-12 16:24:35,9.962,2.299,87.612,0,0.128,3425116160,9430364160,320368640,3362926592,0,0,3258451,9545823
19-12 16:24:36,10.345,2.171,86.973,0.255,0.255,3426164736,9429315584,320368640,3362926592,0,53248,3249897,9553509
19-12 16:24:37,9.936,2.166,87.516,0,0.382,3425624064,9429848064,320368640,3362930688,0,0,3029655,9103792
19-12 16:24:38,10.051,2.290,87.277,0.127,0.254,3424890880,9430577152,320372736,3362930688,0,20480,3306895,9565627
19-12 16:24:39,9.949,1.913,87.883,0,0.255,3425738752,9429721088,320372736,3362938880,0,32768,2870084,8371283
19-12 16:24:40,11.069,2.545,86.132,0,0.254,3425230848,9430228992,320372736,3362938880,0,0,3512869,10531052
19-12 16:24:41,10.755,2.049,86.556,0,0.640,3425488896,9429975040,320372736,3362938880,0,81920,3313278,9814883
19-12 16:24:42,10.560,2.417,86.514,0,0.509,3425886208,9429577728,320372736,3362938880,0,0,3574749,9949980
19-12 16:24:43,10.371,2.561,86.812,0,0.256,3424092160,9431371776,320372736,3362938880,0,0,3649537,10276847
19-12 16:24:44,9.719,2.302,87.724,0,0.256,3424972800,9430482944,320372736,3362942976,0,8192,3165093,8744607
19-12 16:24:45,11.352,2.296,86.224,0,0.128,3424845824,9430609920,320372736,3362942976,0,32768,3368425,11018451
19-12 16:24:46,10.433,2.672,86.641,0,0.254,3424735232,9430720512,320372736,3362942976,0,0,3372566,10064430
19-12 16:24:47,10.191,2.038,87.516,0,0.255,3425370112,9430085632,320372736,3362942976,0,40960,3017356,8847113
19-12 16:24:48,11.083,2.293,86.369,0.127,0.127,3423830016,9431625728,320376832,3362938880,0,966656,3528519,10843119
19-12 16:24:49,9.834,2.427,87.356,0,0.383,3425218560,9430228992,320376832,3362942976,0,61440,3206541,8993214
19-12 16:24:50,10.345,2.299,87.229,0,0.128,3425218560,9430228992,320376832,3362942976,0,0,3058388,9153481
19-12 16:24:51,10,2.308,87.308,0,0.385,3424583680,9430863872,320376832,3362942976,0,0,3551283,10330083
19-12 16:24:52,11.097,2.041,86.735,0,0.128,3425505280,9429942272,320376832,3362942976,0,0,3517924,10451633
19-12 16:24:53,9.935,1.935,88,0,0.129,3424739328,9430712320,320376832,3362942976,0,24576,3308773,9697648
19-12 16:24:54,9.949,2.296,87.500,0,0.255,3426041856,9429409792,320376832,3362942976,0,0,3038898,8672138
19-12 16:24:55,11.196,2.417,86.005,0,0.382,3424866304,9430585344,320376832,3362942976,0,0,3230480,9941947
19-12 16:24:56,10.627,2.177,86.940,0,0.256,3425382400,9430069248,320376832,3362942976,0,0,3284274,9651456
19-12 16:24:57,10.102,1.918,87.724,0,0.256,3425255424,9430188032,320376832,3362947072,0,0,3342797,9684014
19-12 16:24:58,11.908,2.689,85.019,0,0.384,3425325056,9430114304,320376832,3362947072,0,0,3312932,9968178
19-12 16:24:59,9.591,2.685,87.212,0,0.512,3424903168,9430519808,320376832,3362951168,0,110592,3388114,9180029
19-12 16:25:00,11.111,2.682,85.951,0,0.255,3425394688,9430011904,320376832,3362959360,0,0,3309407,9758614
19-12 16:25:01,12.183,3.426,83.756,0.127,0.508,3426398208,9428996096,320376832,3362967552,0,151552,3394353,10041651
19-12 16:25:02,10.207,2.067,87.339,0,0.388,3425583104,9429749760,320376832,3362971648,0,0,3111737,9273583
19-12 16:25:03,10.332,2.168,87.372,0,0.128,3425345536,9429987328,320376832,3362971648,0,0,3304214,9625308
19-12 16:25:04,10.332,2.423,86.735,0,0.510,3424677888,9430654976,320376832,3362971648,0,0,3263639,9511365
19-12 16:25:05,11.253,2.302,86.189,0,0.256,3426197504,9429131264,320376832,3362975744,0,0,3442975,10272178
19-12 16:25:06,10.928,2.668,85.896,0,0.508,3425959936,9429368832,320376832,3362975744,0,69632,3492037,10563734
19-12 16:25:07,10.714,2.679,86.224,0.128,0.255,3426254848,9429073920,320376832,3362975744,0,114688,3449534,10545341
19-12 16:25:08,11.111,1.916,86.845,0,0.128,3426492416,9428836352,320376832,3362975744,0,0,3362092,9633019
19-12 16:25:09,10.560,2.290,86.896,0,0.254,3425456128,9429893120,320376832,3362975744,0,49152,3091291,8767464
19-12 16:25:10,10.687,2.036,87.023,0,0.254,3426217984,9429131264,320376832,3362975744,0,860160,3184689,9356327
19-12 16:25:11,10.318,2.420,87.134,0,0.127,3425710080,9429639168,320376832,3362975744,0,0,3209004,9546858
19-12 16:25:12,10.546,2.033,87.039,0.127,0.254,3425845248,9429504000,320376832,3362975744,0,24576,3149156,9188459
