"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cnode347-vm02",,,,"User:","x9"
"Cmdline:","dstat -tcmdn --output sys_stat.csv",,,,"Date:","20 Feb 2017 17:03:16 CST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
20-02 17:03:16,0.458,0.183,99.319,0.040,0,1900060672,7644958720,910364672,5663264768,724.416,38937.991,0,0
20-02 17:03:17,4.250,0.750,95,0,0,1900511232,7644479488,910364672,5663272960,0,0,112653,3555269
20-02 17:03:18,4.135,0.251,95.614,0,0,1900834816,7644155904,910364672,5663272960,0,0,101244,3559429
20-02 17:03:19,2.128,0,97.872,0,0,1900941312,7644045312,910364672,5663272960,0,0,44762,1033099
20-02 17:03:20,2.130,0.125,97.744,0,0,1900662784,7644323840,910364672,5663272960,0,0,83738,2530497
20-02 17:03:21,4.255,0.250,95.494,0,0,1904918528,7640068096,910364672,5663272960,0,0,108548,3559779
20-02 17:03:22,2.258,0.125,97.365,0.251,0,1894752256,7650234368,910364672,5663272960,0,49152,58253,1781849
20-02 17:03:23,3.379,0.125,96.496,0,0,1894703104,7650283520,910364672,5663272960,0,0,61548,1929238
20-02 17:03:24,2.628,0.250,97.121,0,0,1895329792,7649656832,910364672,5663272960,0,0,66863,1951551
20-02 17:03:25,2.882,0.125,96.992,0,0,1894404096,7650586624,910364672,5663272960,0,0,85005,2663649
20-02 17:03:26,1.880,0.125,97.995,0,0,1910657024,7634333696,910364672,5663272960,0,0,79475,2361381
